variation_index,original_row_index,run_number,unique_run_id,model_name,model_response_full,model_response_parsed,gold_answer,is_correct
82,0,1,0_82_1,google/gemma-3-12b-it,model,model,N/A,
15,0,1,0_15_1,google/gemma-3-12b-it,model,model,N/A,
4,0,1,0_4_1,google/gemma-3-12b-it,model,model,N/A,
95,0,1,0_95_1,google/gemma-3-12b-it,model,model,N/A,
36,0,1,0_36_1,google/gemma-3-12b-it,model,model,N/A,
32,0,1,0_32_1,google/gemma-3-12b-it,model,model,N/A,
29,0,1,0_29_1,google/gemma-3-12b-it,model,model,N/A,
18,0,1,0_18_1,google/gemma-3-12b-it,model,model,N/A,
14,0,1,0_14_1,google/gemma-3-12b-it,model,model,N/A,
87,0,1,0_87_1,google/gemma-3-12b-it,model,model,N/A,
82,1,1,1_82_1,google/gemma-3-12b-it,model,model,N/A,
15,1,1,1_15_1,google/gemma-3-12b-it,model,model,N/A,
4,1,1,1_4_1,google/gemma-3-12b-it,model,model,N/A,
95,1,1,1_95_1,google/gemma-3-12b-it,model,model,N/A,
36,1,1,1_36_1,google/gemma-3-12b-it,model,model,N/A,
32,1,1,1_32_1,google/gemma-3-12b-it,model,model,N/A,
29,1,1,1_29_1,google/gemma-3-12b-it,model,model,N/A,
18,1,1,1_18_1,google/gemma-3-12b-it,model,model,N/A,
14,1,1,1_14_1,google/gemma-3-12b-it,model,model,N/A,
87,1,1,1_87_1,google/gemma-3-12b-it,model,model,N/A,
82,2,1,2_82_1,google/gemma-3-12b-it,model,model,N/A,
15,2,1,2_15_1,google/gemma-3-12b-it,model,model,N/A,
4,2,1,2_4_1,google/gemma-3-12b-it,model,model,N/A,
95,2,1,2_95_1,google/gemma-3-12b-it,model,model,N/A,
36,2,1,2_36_1,google/gemma-3-12b-it,model,model,N/A,
32,2,1,2_32_1,google/gemma-3-12b-it,model,model,N/A,
29,2,1,2_29_1,google/gemma-3-12b-it,model,model,N/A,
18,2,1,2_18_1,google/gemma-3-12b-it,model,model,N/A,
14,2,1,2_14_1,google/gemma-3-12b-it,model,model,N/A,
87,2,1,2_87_1,google/gemma-3-12b-it,model,model,N/A,
82,3,1,3_82_1,google/gemma-3-12b-it,model,model,N/A,
15,3,1,3_15_1,google/gemma-3-12b-it,model,model,N/A,
4,3,1,3_4_1,google/gemma-3-12b-it,model,model,N/A,
95,3,1,3_95_1,google/gemma-3-12b-it,model,model,N/A,
36,3,1,3_36_1,google/gemma-3-12b-it,model,model,N/A,
32,3,1,3_32_1,google/gemma-3-12b-it,model,model,N/A,
29,3,1,3_29_1,google/gemma-3-12b-it,model,model,N/A,
18,3,1,3_18_1,google/gemma-3-12b-it,model,model,N/A,
14,3,1,3_14_1,google/gemma-3-12b-it,model,model,N/A,
87,3,1,3_87_1,google/gemma-3-12b-it,model,model,N/A,
82,4,1,4_82_1,google/gemma-3-12b-it,model,model,N/A,
15,4,1,4_15_1,google/gemma-3-12b-it,model,model,N/A,
4,4,1,4_4_1,google/gemma-3-12b-it,model,model,N/A,
95,4,1,4_95_1,google/gemma-3-12b-it,model,model,N/A,
36,4,1,4_36_1,google/gemma-3-12b-it,model,model,N/A,
32,4,1,4_32_1,google/gemma-3-12b-it,model,model,N/A,
29,4,1,4_29_1,google/gemma-3-12b-it,model,model,N/A,
18,4,1,4_18_1,google/gemma-3-12b-it,model,model,N/A,
14,4,1,4_14_1,google/gemma-3-12b-it,model,model,N/A,
87,4,1,4_87_1,google/gemma-3-12b-it,model,model,N/A,
82,5,1,5_82_1,google/gemma-3-12b-it,model,model,N/A,
15,5,1,5_15_1,google/gemma-3-12b-it,model,model,N/A,
4,5,1,5_4_1,google/gemma-3-12b-it,model,model,N/A,
95,5,1,5_95_1,google/gemma-3-12b-it,model,model,N/A,
36,5,1,5_36_1,google/gemma-3-12b-it,model,model,N/A,
32,5,1,5_32_1,google/gemma-3-12b-it,model,model,N/A,
